,click_through_rate,conversion_rate,view_time,cost_per_click,ROI,day_of_week,day_of_month,month,is_month_start,is_month_end,is_weekend,is_holiday,age_group_encoded,engagement_level_encoded,device_type_Mobile,device_type_Tablet,location_Germany,location_India,location_UK,location_USA,gender_Male,content_type_Text,content_type_Video,ad_topic_Electronics,ad_topic_Entertainment,ad_topic_Fashion,ad_topic_Finance,ad_topic_Food,ad_topic_Health,ad_topic_Travel,ad_target_audience_Fitness Lovers,ad_target_audience_Professionals,ad_target_audience_Students,ad_target_audience_Tech Enthusiasts,ad_target_audience_Travel Lovers,ad_target_audience_Young Adults
0,0.1267,0.1767,49,0.65,4.44,0,18,8,0,0,0,0,0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0606,0.1845,13,1.17,1.1,2,2,4,1,0,0,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.0388,0.0791999999999999,14,0.46,3.47,2,17,12,0,0,0,0,1,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,0.071,0.2163,60,0.71,8.02,6,16,11,0,0,1,0,4,15.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4,0.0966,0.2682,56,0.77,7.11,2,26,11,0,1,0,0,1,15.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.0548,0.1566,5,0.75,3.47,0,6,1,1,0,0,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,0.037,0.1263,20,0.4,2.28,0,19,5,0,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,0.1019,0.1946999999999999,42,0.79,6.11,2,10,9,0,0,0,0,0,5.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0.0202,0.0885,23,0.51,0.24,1,2,12,1,0,0,0,4,,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,0.0413,0.0858,10,0.5,2.6,6,2,11,1,0,1,0,1,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10,0.0302,0.0791999999999999,13,0.7,1.26,3,13,11,0,0,0,0,1,0.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,0.0369,0.1635,64,0.43,12.65,4,16,5,0,0,0,0,4,15.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,0.0739,0.168,7,1.07,2.3,5,27,12,0,1,1,0,2,0.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
13,0.0782,0.1845,48,0.64,4.11,3,27,2,0,1,0,0,2,15.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
14,0.0602,0.1845,32,0.35,7.04,6,9,11,0,0,1,0,2,5.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,0.0353,0.1268999999999999,15,0.59,3.68,2,10,12,0,0,0,0,3,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16,0.0465,0.1202999999999999,22,1.22,0.33,2,8,10,0,0,0,0,2,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0.0813,0.1695,15,0.2,5.29,1,5,8,1,0,0,0,0,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
18,0.0331,0.1059,48,0.55,4.86,0,11,8,0,0,0,0,0,15.0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19,0.1054,0.1794,20,0.44,10.84,5,20,12,0,0,1,0,0,,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,0.0668,0.2532,30,0.98,5.57,1,15,4,0,0,0,0,3,5.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
21,0.0241,0.1185,20,0.22,4.13,5,15,3,0,0,1,0,4,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,0.0909,0.1914,26,0.89,0.82,1,15,7,0,0,0,0,1,,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.1002,0.2679,28,0.35,9.42,2,20,8,0,0,0,0,0,,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
24,0.0678,0.1803,54,1.19,4.51,3,18,12,0,0,0,0,4,15.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
25,0.1275,0.2748,27,0.43,13.85,4,8,8,0,0,0,0,1,,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
26,0.1281,0.2469,42,0.3,22.31,6,25,5,0,1,1,0,0,5.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
27,0.0377,0.1251,76,0.47,5.46,0,13,10,0,0,0,0,1,50.0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28,0.0586,0.1134,40,0.78,0.32,0,30,6,0,1,0,0,2,5.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,0.0404,0.1725,35,0.4,2.82,1,10,6,0,0,0,0,4,5.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30,0.0808,0.2004,15,0.9,2.63,3,18,9,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,0.041,0.1434,30,1.02,1.01,4,18,7,0,0,0,0,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,0.0541,0.1485,86,0.63,3.3,6,16,11,0,0,1,0,2,50.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33,0.0588,0.2163,30,0.81,5.6,4,28,11,0,1,0,0,2,5.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
34,0.0587,0.2256,24,0.79,7.09,6,30,3,0,1,1,0,3,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
35,0.0871,0.15,47,1.73,0.34,3,13,11,0,0,0,0,3,15.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
36,0.0258,0.0855,7,0.96,0.05,6,29,6,0,1,1,0,3,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,0.0325,0.1548,66,1.03,1.92,3,13,3,0,0,0,0,3,15.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0.1332,0.2594999999999999,50,1.68,2.83,2,22,10,0,0,0,0,0,15.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
39,0.0593,0.2616,23,0.75,3.2,6,10,8,0,0,1,0,4,,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0.0778,0.2124,41,0.51,13.46,2,22,10,0,0,0,0,1,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
41,0.0419,0.1251,16,0.64,5.03,4,14,3,0,0,0,0,3,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42,0.0322,0.0728999999999999,27,0.94,0.94,5,9,8,0,0,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
43,0.0294,0.1668,46,0.61,2.39,0,6,10,1,0,0,0,4,15.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
44,0.0789,0.2507999999999999,73,0.28,13.65,5,20,12,0,0,1,0,3,50.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
45,0.1295,0.2870999999999999,14,1.08,5.03,4,26,12,0,1,0,0,0,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,0.0576,0.1866,18,0.44,8.83,2,26,3,0,1,0,0,1,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47,0.0609,0.1845,36,0.41,9.06,2,11,6,0,0,0,0,1,5.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,0.0481,0.1752,44,0.57,3.04,3,27,2,0,1,0,0,1,5.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
49,0.0723,0.1931999999999999,14,1.04,1.09,1,11,2,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,0.0299,0.1356,19,0.54,3.73,4,19,9,0,0,0,0,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,0.0251,0.0807,7,0.5,3.88,4,3,10,1,0,0,0,4,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
52,0.0474,0.1848,68,1.08,1.78,0,3,2,1,0,0,0,2,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
53,0.0179,0.0902999999999999,34,0.28,10.12,1,5,8,1,0,0,0,4,5.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
54,0.0619,0.1488,13,0.67,2.26,2,17,12,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0.1131,0.2313,52,0.26,30.05,6,27,4,0,1,1,0,1,15.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
56,0.0214,0.1146,14,0.95,0.27,2,13,8,0,0,0,0,4,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
57,0.0317,0.1212,10,0.26,8.25,4,22,8,0,0,0,0,2,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58,0.0472,0.1944,31,0.93,3.16,6,7,12,1,0,1,0,4,5.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
59,0.0422,0.0915,32,0.29,6.83,5,4,10,1,0,1,0,0,5.0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,0.0277,0.1227,43,0.9,1.52,0,13,1,0,0,0,0,3,5.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
61,0.0518,0.1143,28,0.48,2.73,4,21,11,0,0,0,0,1,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,0.0231,0.1071,11,0.54,4.91,3,13,11,0,0,0,0,3,0.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
63,0.0713,0.1206,30,0.41,2.72,5,8,2,0,0,1,0,0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
64,0.0729,0.171,62,0.69,1.15,2,12,3,0,0,0,0,1,15.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
65,0.0261,0.0912,36,0.65,3.7,5,29,3,0,1,1,0,2,5.0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
66,0.0427,0.1038,8,0.77,2.5,6,3,8,1,0,1,0,0,0.0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
67,0.0519,0.1482,10,0.41,2.01,1,22,7,0,0,0,0,2,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
68,0.0498,0.2619,24,1.06,4.24,3,23,10,0,0,0,0,4,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
69,0.0785,0.2445,22,0.34,9.02,1,24,6,0,1,0,0,2,,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
70,0.0406,0.1431,7,0.86,2.48,0,17,11,0,0,0,0,3,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
71,0.0313,0.1881,53,0.3,4.97,6,12,10,0,0,1,0,4,15.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
72,0.0306,0.1047,15,1.1,1.92,3,9,1,0,0,0,0,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
73,0.0202,0.0876,11,0.63,2.02,0,16,6,0,0,0,0,3,0.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
74,0.0532,0.1728,15,1.04,3.26,2,29,1,0,1,0,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,0.055,0.159,10,0.77,2.25,3,28,8,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
76,0.0896,0.1866,50,0.53,4.91,4,26,12,0,1,0,0,1,5.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
77,0.0483,0.1407,47,1.14,1.47,5,15,2,0,0,1,0,3,15.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,0.1174,0.2661,48,0.48,9.89,1,21,1,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
79,0.0482,0.1820999999999999,24,0.44,11.39,3,26,6,0,1,0,0,2,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80,0.0189,0.1137,17,1.84,-0.44,5,15,3,0,0,1,0,3,,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81,0.0245,0.0975,20,0.6,3.94,2,30,4,0,1,0,0,4,,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
82,0.061,0.1863,44,1.13,2.81,6,5,1,1,0,1,0,2,5.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
83,0.0473,0.1344,43,0.43,1.91,0,8,12,0,0,0,0,2,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
84,0.0366,0.189,33,0.59,9.01,2,24,9,0,1,0,0,4,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
85,0.0897,0.1665,81,0.28,16.6,1,14,1,0,0,0,0,0,50.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
86,0.0311,0.0738,32,0.64,1.42,3,24,4,0,1,0,0,1,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
87,0.0538,0.1992,60,0.45,15.64,6,2,2,1,0,1,0,1,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
88,0.1288,0.2169,39,0.4,13.32,2,9,4,0,0,0,0,0,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
89,0.0979,0.2343,57,1.3,0.85,5,14,6,0,0,1,0,2,15.0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
90,0.0768,0.1893,35,0.67,5.49,6,31,8,0,1,1,0,1,5.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
91,0.0283,0.1224,40,0.88,2.29,1,30,12,0,1,0,0,2,5.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,0.0402,0.1128,25,0.22,14.57,5,26,4,0,1,1,0,2,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,0.0707,0.159,56,0.72,0.83,3,24,4,0,1,0,0,1,15.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,0.0501,0.1719,62,0.48,9.8,6,24,8,0,0,1,0,4,50.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
95,0.0994,0.1977,45,1.35,3.8,1,14,1,0,0,0,0,2,5.0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
96,0.0686,0.237,36,0.45,16.96,6,6,4,1,0,1,0,2,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
97,0.0396,0.1008,84,1.3,1.31,4,26,9,0,1,0,0,1,50.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,0.0287,0.1176,37,0.27,13.01,2,9,4,0,0,0,0,2,5.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,0.0251,0.0864,15,0.58,1.1,1,11,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
100,0.0833,0.1587,62,0.73,1.68,1,13,5,0,0,0,0,0,15.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0.0732,0.258,26,0.8,3.36,3,14,8,0,0,0,0,2,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
102,0.0921,0.2607,15,0.76,7.39,4,9,5,0,0,0,0,2,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
103,0.0269,0.0798,69,0.98,0.55,6,13,7,0,0,1,0,1,50.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
104,0.0205,0.1268999999999999,33,0.7,2.35,1,8,7,0,0,0,0,4,5.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
105,0.0507,0.0776999999999999,9,0.63,1.66,6,23,3,0,0,1,0,0,0.0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,0.0418,0.1092,47,0.48,3.39,0,19,5,0,0,0,0,3,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
107,0.0341,0.1641,20,0.95,3.42,1,25,2,0,1,0,0,4,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
108,0.0274,0.1113,9,1.22,0.35,1,24,6,0,1,0,0,3,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
109,0.1161,0.1587,8,0.86,1.71,1,25,2,0,1,0,0,0,0.0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
110,0.0369,0.1827,58,1.25,2.68,6,23,2,0,1,1,0,3,15.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,0.0418,0.1362,17,0.53,4.21,5,27,12,0,1,1,0,2,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
112,0.0591,0.1512,13,0.74,1.49,0,6,10,1,0,0,0,2,0.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
113,0.0544,0.1626,26,0.95,3.14,2,9,4,0,0,0,0,3,,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
114,0.0703,0.2592,90,0.63,11.09,0,24,3,0,0,0,0,3,50.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
115,0.0735,0.1953,29,1.44,1.7,2,1,10,1,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,0.0457,0.1179,12,0.7,2.49,2,23,4,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
117,0.0709,0.1842,78,1.02,5.76,1,18,2,0,0,0,0,1,50.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
118,0.0758,0.1326,44,1.34,1.93,5,13,12,0,0,1,0,0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
119,0.0692,0.2532,15,0.86,4.57,2,10,12,0,0,0,0,3,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
120,0.0373,0.0765,44,0.88,0.14,3,18,9,0,0,0,0,1,5.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
121,0.0627,0.1896,12,0.41,12.38,0,23,6,0,0,0,0,1,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,0.0226,0.093,8,0.75,1.85,5,15,3,0,0,1,0,2,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
123,0.1119,0.2022,45,0.52,2.17,0,17,11,0,0,0,0,1,5.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
124,0.0514,0.1575,15,1.4,2.02,4,7,11,1,0,0,0,2,0.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,0.1011,0.201,5,1.13,0.32,0,15,12,0,0,0,0,1,0.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
126,0.063,0.2274,32,0.52,3.15,6,19,10,0,0,1,0,2,5.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
127,0.0643,0.1782,23,1.15,2.23,1,18,2,0,0,0,0,1,,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
128,0.0488,0.1878,22,0.49,11.13,5,15,11,0,0,1,0,2,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
129,0.0653,0.2352,19,0.35,7.88,5,22,11,0,0,1,0,4,,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
130,0.1298,0.2388,42,0.59,10.36,2,5,3,1,0,0,0,0,5.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
131,0.0576,0.198,23,0.24,8.45,0,30,6,0,1,0,0,3,,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
132,0.0336,0.1119,20,1.04,1.03,2,13,8,0,0,0,0,2,,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,0.0914,0.2751,24,0.81,6.22,1,29,4,0,1,0,0,1,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
134,0.0946,0.18,16,0.68,1.55,4,21,3,0,0,0,0,0,,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
135,0.0846,0.204,30,0.28,12.31,6,23,2,0,1,1,0,0,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
136,0.0799,0.2193,67,1.18,5.74,3,14,8,0,0,0,0,3,50.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
137,0.0585,0.1473,18,1.87,-0.07,1,28,1,0,1,0,0,1,,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
